"CELEB1","CELEB2","STARTED","ENDED"
"Tyra Banks","Chris Webber","",""
"Tyra Banks","John Singleton","",""
"Uma Thurman","Nicolas Cage","",""
"Vanessa L. Williams","Rob Mack","",""
"Vanilla Ice","Madonna","",""
"Vince Vaughn","Jennifer Aniston","",""
"Warren Beatty","Britt Ekland","",""
"Warren Beatty","Candice Bergen","",""
"Warren Beatty","Carly Simon","",""
"Warren Beatty","Catherine Deneuve","",""
"Warren Beatty","Faye Dunaway","",""
"Warren Beatty","Isabelle Adjani","",""
"Warren Beatty","Jane Fonda","",""
"Warren Beatty","Janice Dickinson","",""
"Warren Beatty","Joan Collins","",""
"Warren Beatty","Julie Christie","",""
"Warren Beatty","Leslie Caron","",""
"Warren Beatty","Madonna","",""
"Wilmer Valderrama","Ashlee Simpson","",""
"Wilmer Valderrama","Jennifer Love Hewitt","",""
"Wilmer Valderrama","Lindsay Lohan","",""
"Wilmer Valderrama","Mandy Moore","2000","2002"
"Winona Ryder","Adam Duritz","",""
"Winona Ryder","Beck","",""
"Winona Ryder","Blake Sennett","",""
"Winona Ryder","Chris Isaak","",""
"Winona Ryder","Chris Noth","",""
"Winona Ryder","Christian Slater","1989","1990"
"Winona Ryder","Conor Oberst","",""
"Winona Ryder","Dave Grohl","",""
"Winona Ryder","Dave Pirner","1993","1996"
"Winona Ryder","David Duchovny","",""
"Winona Ryder","Evan Dando","",""
"Winona Ryder","Jakob Dylan","",""
"Winona Ryder","Jason Kay","",""
"Winona Ryder","John Anthony Gillis","",""
"Winona Ryder","Johnny Depp","1990","1993"
"Winona Ryder","Julian Casablancas","",""
"Winona Ryder","Mark Wahlberg","",""
"Winona Ryder","Matt Damon","1996","2000"
"Winona Ryder","Paul Westerberg","",""
"Winona Ryder","Pete Yorn","",""
"Winona Ryder","Rhett Miller","",""
"Winona Ryder","Ryan Adams","",""
"Winona Ryder","Stephan Jenkins","",""
"Winona Ryder","Tré Cool","",""
"Woody Allen","Diane Keaton","",""
"Woody Allen","Mia Farrow","1980","1992"
"Woody Allen","Soon-Yi Previn","",""
"Woody Allen","Stacey Nelkin","",""
"Zac Efron","Vanessa Anne Hudgens","",""
"Zach Braff","Mandy Moore","2004","2006"
"k.d. lang","Leisha Hailey","",""
